state_abbv,state_fips,year,website_pollingplace,website_reg_status,website_precinct_ballot,website_absentee_status,website_provisional_status,reg_rej,prov_partic,prov_rej_all,abs_rej_all_ballots,abs_nonret,uocava_rej,uocava_nonret,eavs_completeness,post_election_audit,nonvoter_illness_onyear_pct,nonvoter_illness_offyear_pct,nonvoter_reg_onyear_pct,nonvoter_reg_offyear_pct,online_reg,wait,residual,pct_reg_of_vep_vrs,vep_turnout,nonvoter_illness_onyear_new,eric_membership,risk_limiting_audits,nonvoter_illness_offyear_new
"DC","District of Columbia",2012,1,"1",0,1,"1",.0053329,.1313015,.0110279,.0013458,.2820159,.015,.1858887,1,1,.24762523,,.09262621,,"0",33.85453,.0016652,.9245937,.6196569,,,,
"DC","District of Columbia",2014,1,"1",0,1,"1",.0034302,.1134082,.0067371,0,.2540129,.1498638,.5807229,1,1,,.1066784,,.0556776,"1",6.901768,,.8625319,.3579111,,,,
"DC","District of Columbia",2016,1,"1",1,1,"1",.005027,.0110537,.0046723,.0001058,.2217489,.0405405,.1897547,1,1,.20776799,,.03172313,,"1",16.3224,.0041814,.9363362,.6085837,,,,
"DC","District of Columbia",2018,1,"1",1,1,"1",.0495441,.0103841,.0061761,.0014329,.2458871,.0280374,.4956795,1,1,,.1241904,,.072201,"1",12.25722,,.9082791,.4374204,,,,
"DC","District of Columbia",2020,1,"1",1,1,"1",.0279283,.0087592,.0037432,.0021011,,.0018036,.168749,1,1,,,.05714988,,"1",3.465483,.0061618,.9590877,.6408371,-.1409692,1,,
"DC","District of Columbia",2022,1,"1",1,1,"1",.0153312,.0020897,.0019099,.0123534,0,.010661,.3575343,1,1,,,,.0595123,"1",9.966932,,.9219933,.4358797,,1,,-.0958736
"DE","Delaware",2008,1,"0",,,"",.246144,.0009478,.0007987,.0008011,.0355968,.0737514,.2255319,1,1,.21303475,,.04752197,,"0",12.16164,.0027807,.8579402,.6583285,,,,
"DE","Delaware",2010,1,"0",1,1,"1",.1600311,.0001042,.0000979,.0004357,.0454772,.0431177,.6394261,1,1,,.1426831,,.0128883,"0",,,.8167546,.4784293,,,,
"DE","Delaware",2012,1,"0",1,1,"1",.0414882,.0010847,.0010009,.0005747,.0763399,.0977143,.2850829,1,1,.18058525,,.05101806,,"0",4.920934,.0088689,.8627042,.6266024,,,,
"DE","Delaware",2014,1,"1",1,1,"1",.0523322,.0002604,.0002268,.0002604,.2352455,.0149254,.5833333,1,1,,.1346084,,.0097445,"1",2.654505,,.8248424,.3435541,,,,
"DE","Delaware",2016,1,"1",1,1,"1",.0757975,.0006604,.0006091,.0004819,.119254,.0399523,.196,1,1,.17922233,,.04036922,,"1",4.889554,.0031759,.8698691,.6440257,,,,
"DE","Delaware",2018,1,"1",1,1,"1",.0068244,.0003137,.0002919,.0019261,.1868675,.0136799,.3815567,1,1,,.1363971,,.0222916,"1",4.468648,,.8376662,.5144278,,,,
"DE","Delaware",2020,1,"1",1,1,"1",.0824457,.0008413,.0006373,.0040785,.1287681,.0510498,.1621249,1,1,,,.04292835,,"1",32.53292,.0102721,.8875969,.7067579,-.1284171,1,,
"DE","Delaware",2022,1,"1",1,1,"1",.0089283,.0001074,.0000767,.0046681,.25934,.0741379,.4974003,1,1,,,,.0184076,"1",5.097708,,.8992084,.4318836,,1,,-.1078571
"FL","Florida",2008,0,"0",,,"",.0043993,.0041851,.0021517,.0021675,.1405957,.0237567,.2162445,1,1,.16753253,,.09558636,,"0",28.8429,.0073533,.8768896,.6663098,,,,
"FL","Florida",2010,1,"1",1,1,"0",,.002408,.0006195,.0032842,.2898481,.0410716,.5955917,.8888889,1,,.1427553,,.0495096,"0",,,.8182136,.4228351,,,,
"FL","Florida",2012,1,"1",1,1,"0",.0629904,.0049949,.0021158,.0024058,.1815513,.0308689,.2495005,1,1,.14670882,,.0782752,,"0",44.97699,.007481,.852604,.6396278,,,,
"FL","Florida",2014,1,"1",0,1,"0",.0358024,.0020797,.0008905,.0031405,.2905891,.0378265,.6288099,1,1,,.1320184,,.0401903,"0",3.599352,,.8228478,.4326273,,,,
"FL","Florida",2016,1,"1",0,1,"0",.0601564,.0025443,.0014002,.0022856,.2170942,.0316635,.2767455,.9999695,1,.13161255,,.06030143,,"0",5.551784,.0081146,.8701133,.6464386,,,,
"FL","Florida",2018,1,"1",0,1,"0",.1074619,.0016344,.001008,.0037458,.2557576,.0659338,.4762005,.9977963,1,,.1179324,,.0319729,"1",5.929375,,.8657085,.5494362,,,,
"FL","Florida",2020,1,"1",0,1,"0",.1003798,.0018588,.0012135,.0012506,.216776,.0181217,.1887295,.9968572,1,,,.03637806,,"1",14.27463,.0069448,.8767132,.7166308,-.0516984,1,,
"FL","Florida",2022,1,"1",0,1,"0",.0430667,.0008995,.0005393,.0028216,.3716554,.0451941,.5995883,.9999118,1,,,,.018443,"1",6.323721,,.8527526,.493537,,1,,-.0559876
"GA","Georgia",2008,1,"1",,,"",.0014454,.0043675,.0022621,.000882,.0164289,.0225782,.3132415,.9998797,,.14203437,,.0584905,,"0",37.57042,.0053731,.8493528,.6273138,,,,
"GA","Georgia",2010,1,"1",1,1,"0",.0019959,.0031868,0,.0001697,.0257251,.0447316,.7990428,.993493,0,,.141477,,.0514005,"0",,,.7885268,.4059247,,,,
"GA","Georgia",2012,1,"1",1,1,"0",,.0053178,.002761,.0001813,.0168093,.024003,.3453543,.9413403,0,.16754481,,.06287351,,"0",17.77648,.0049256,.8632095,.5865015,,,,
"GA","Georgia",2014,1,"1",1,1,"1",.0037512,.0046812,.0019952,.0016662,.1295609,.0448065,.4371418,.9985401,0,,.1291866,,.0471081,"1",7.374517,,.7780347,.3853082,,,,
"GA","Georgia",2016,1,"1",1,1,"1",.0029336,.0040363,.0022056,.0032979,.100842,.0814246,.2736933,1,0,.14848693,,.06040053,,"1",16.55033,.0057517,.8330312,.591585,,,,
"GA","Georgia",2018,1,"1",1,1,"0",.0025963,.0054668,.0024543,.0019009,.137941,.0563194,.3344725,.9998013,0,,.1522279,,.0429129,"1",15.396,,.8381456,.5502736,,,,
"GA","Georgia",2020,1,"1",1,1,"1",.0061415,.0035903,.0012391,.0009562,.2517692,.020777,.3369298,.9996231,1,,,.06547212,,"1",23.19837,.0056105,.8754281,.6803165,-.0670604,1,1,
"GA","Georgia",2022,1,"1",1,1,"1",.0027668,.0014635,.0005011,.000955,.1019057,.0541009,.3058006,1,1,,,,.0337963,"1",9.707685,,.855806,.5258938,,1,1,-.0748287
"HI","Hawaii",2008,1,"0",,,"",,.0011469,.0008838,.0018352,.0893652,,,.9012241,1,.12623376,,.06466489,,"0",5.735971,.0054807,.6961197,.4903561,,,,
"HI","Hawaii",2010,1,"0",1,0,"0",,.0005126,.0003909,.0030637,.0772255,.0619946,.3410302,.9262081,1,,.1151493,,.1021117,"0",,,.6577465,.4009361,,,,
"HI","Hawaii",2012,1,"0",1,0,"0",,.0016278,.0013943,.0025322,.0981071,,.3262103,.9262494,1,.12792197,,.0816899,,"0",7.027607,.005638,.7091731,.444745,,,,
"HI","Hawaii",2014,1,"1",1,0,"0",,.0004654,.0004042,.0016554,.1423769,.125,.4751381,.9494085,1,,.0897427,,.0969557,"0",2.496192,,.640036,.3649429,,,,
"HI","Hawaii",2016,1,"1",1,0,"0",,.0019306,.0016244,.0028421,.1524386,.0259301,.2264261,.9710841,1,.09996945,,.07057734,,"1",3.780215,.01994,.7187587,.4217789,,,,
"HI","Hawaii",2018,1,"1",1,0,"1",,.0022976,.0010585,.0079902,.215932,.0111857,,.8333333,1,,.1024153,,.05598,"1",4.425862,,.70885,.3930122,,,,
"HI","Hawaii",2020,1,"1",1,1,"1",,.0000207,.0000103,.0047354,,.0099338,.2160935,.981145,1,,,.10149209,,"1",.1051026,.0092638,.8148673,.5752282,-.0207341,,,
"HI","Hawaii",2022,1,"1",1,1,"1",,9.45e-06,7.08e-06,.0119922,0,.0100806,.3921569,.9444444,1,,,,.0355857,"1",3.0169,,.7658879,.4105843,,,,-.0393256
"IA","Iowa",2008,1,"1",,,"",.0081065,.002785,.0002496,.0027941,.0513921,.0813025,.2499575,.9444444,0,.12207783,,.03788294,,"0",5.006278,.0062291,.8531576,.6965688,,,,
"IA","Iowa",2010,1,"1",0,1,"0",.0022326,.0017566,.0003079,.0037762,.0597957,.0373444,.5475862,.9993886,0,,.0931856,,.0328383,"0",,,.8240576,.5079022,,,,
"IA","Iowa",2012,1,"1",0,1,"0",.0057212,.0031422,.000544,.0051373,.0700988,.0592933,.2159142,1,0,.12272054,,.01885386,,"0",7.495293,.0048876,.864816,.7024691,,,,
"IA","Iowa",2014,1,"1",0,1,"0",.0028298,.0029896,.0004141,.0064308,.1027749,.0571956,.3266332,1,0,,.0727264,,.0294497,"0",1.907715,,.8476908,.502327,,,,
"IA","Iowa",2016,1,"1",0,1,"0",.0060064,.0016144,.000437,.00268,.0310747,.0381659,.2040688,.9441887,0,.09004534,,.01586474,,"1",3.84448,.0097004,.8584474,.6837921,,,,
"IA","Iowa",2018,1,"1",0,1,"0",.0026163,.0076019,.0006078,.0038208,.0935736,.0227155,.2406899,.9995574,1,,.0740915,,.0300386,"1",2.884931,,.8776672,.5770594,,,,
"IA","Iowa",2020,1,"1",0,1,"0",.0066872,.0010599,.0003,.0015246,.0503915,.0050487,.121981,1,1,,,.02048012,,"1",6.885262,.0054461,.9115583,.7324576,-.1113982,1,,
"IA","Iowa",2022,1,"1",0,1,"0",.0017391,.0004512,.0002292,.0007267,.0250486,.0337931,.243215,1,1,,,,.0166712,"1",3.754597,,.8461392,.5225917,,1,,-.0894122
"ID","Idaho",2008,1,"0",,,"",,,,.0013438,.0334968,.1277148,.2272357,.9375,0,.15048735,,.02202454,,"0",6.491838,.0186875,.7710114,.6484317,,,,
"ID","Idaho",2010,1,"1",0,1,"NA",,,,.0030563,.0660938,.2094595,.5288932,.9375,0,,.1283618,,.0168036,"0",,,.7121072,.4277239,,,,
"ID","Idaho",2012,1,"1",0,1,".",,,,.0014318,.0325269,.1358954,.1849817,.9366804,0,.13142571,,.03208783,,"0",7.092125,.0210359,.7705358,.6087676,,,,
"ID","Idaho",2014,1,"1",0,1,".",,,,.0016191,.1088059,.1,.2867257,.9375,0,,.1277858,,.013506,"0",1.959351,,.701522,.3960464,,,,
"ID","Idaho",2016,1,"1",0,1,".",,,,.0012329,.029666,.1374101,.1514851,.9375,0,.1310991,,.02422966,,"0",8.013486,.028305,.7803469,.591377,,,,
"ID","Idaho",2018,1,"1",0,1,".",,0,0,.0019393,.0612896,.0655367,.2195767,.9353741,0,,.1197211,,.0087345,"1",6.496275,,.7210763,.5003255,,,,
"ID","Idaho",2020,1,"1",0,1,"NA",,0,0,.0044707,.1277943,,,.8650624,1,,,.03009915,,"1",6.061793,.012801,.8025349,.6796057,-.0610931,,,
"ID","Idaho",2022,1,"1",0,1,"NA",,0,0,,.1124586,.0031546,.0758018,.8035735,1,,,,.006454,"1",7.240234,,.7562461,.4224916,,,,-.038004
"IL","Illinois",2008,0,"0",,,"",.0456816,,,,.0742571,.0297539,.3062727,.6392842,1,.1864434,,.06370506,,"0",9.287217,.0098856,.852006,.642565,,,,
"IL","Illinois",2010,1,"1",0,0,"1",.4036577,,.0037248,.0007608,.1727937,.046721,.7815896,.9379956,1,,.130213,,.0407699,"0",,,.8180088,.4319448,,,,
"IL","Illinois",2012,1,"1",0,0,"1",.0369644,.00383,.0056721,.0007937,.0793134,,,.8224649,1,.1558387,,.06105107,,"0",11.71202,.0071714,.8482321,.5930306,,,,
"IL","Illinois",2014,1,"1",0,0,"1",,.0088713,.0023771,.0013721,.1461835,,,.8199335,1,,.125107,,.0364421,"1",4.490543,,.8024021,.4094988,,,,
"IL","Illinois",2016,1,"1",0,0,"1",.0340921,.0047393,.002206,.001079,.1204674,.0246251,.2156082,.9996744,1,.12755969,,.04162676,,"1",6.372737,.0125823,.8841081,.619076,,,,
"IL","Illinois",2018,1,"1",0,0,"1",,.0040482,.0014616,.0019174,.1596732,,,.8936481,1,,.1252018,,.0237291,"1",5.929732,,.8636311,.5140406,,,,
"IL","Illinois",2020,1,"1",0,0,"1",.058762,.008195,.0012837,.0054986,.0983122,.0194126,.1892417,.9926044,1,,,.04203625,,"1",9.225952,.0106555,.8906034,.6702055,-.0395023,,,
"IL","Illinois",2022,1,"1",0,0,"1",,,,,,,,.8085989,1,,,,.0145573,"1",5.566379,,.8688303,.4642188,,1,,-.0686399
"IN","Indiana",2008,1,"1",,,"",.0204084,,,,.0365818,,.4717899,.9436936,0,.17045112,,.06861136,,"0",24.05688,.0193628,.8106478,.6030463,,,,
"IN","Indiana",2010,1,"1",1,1,"1",.544636,.0010168,.0006178,.0042425,,.0681576,.7370199,.9826866,0,,.1250947,,.025923,"1",,,.7351322,.3800622,,,,
"IN","Indiana",2012,1,"1",1,1,"1",.0407637,.0018026,.0015007,.0045217,.0065626,.2058374,.1347832,.9932502,0,.17448731,,.06457779,,"1",14.31977,.0145808,.7842379,.5596369,,,,
"IN","Indiana",2014,1,"1",1,1,"1",.0404753,,,.0044887,.0088934,.1613833,.1029301,.968887,0,,.1069577,,.0226889,"1",4.858101,,.751587,.2882431,,,,
"IN","Indiana",2016,1,"1",1,1,"1",.0659661,.0010711,.0008437,.0007399,.0026247,.0252196,.0877317,1,0,.17443781,,.05207844,,"1",17.09024,.0177785,.8135898,.5636001,,,,
"IN","Indiana",2018,1,"1",1,1,"1",.058564,.0009792,.00072,,.0054922,.0156342,.2012253,.9883077,0,,.1008081,,.0290111,"1",10.68126,,.8190028,.4688658,,,,
"IN","Indiana",2020,1,"1",1,1,"1",.0378174,.0018,.0013286,.0009403,.0159641,.0038575,.1463438,.9967892,1,,,.04356328,,"1",42.07186,.0115433,.8210332,.6137075,-.1118517,,,
"IN","Indiana",2022,1,"1",1,1,"1",.0419421,.0016746,.0010972,.0014052,.0091573,.0098377,.1789176,.9968833,1,,,,.0221441,"1",6.137531,,.7941101,.3737347,,,,-.0891586
"KS","Kansas",2008,0,"1",,,"",.000404,.031835,.0098227,.0032542,.0658288,.1010196,.2447344,.8860591,0,.1657014,,.05095426,,"0",10.75167,,.7717946,.6347194,,,,
"KS","Kansas",2010,1,"1",1,1,"0",.0003471,.0210888,.0059079,.0049309,.1631055,.0357654,.7018052,1,0,,.1197259,,.0352724,"1",,,.7672316,.4168779,,,,
"KS","Kansas",2012,1,"1",1,1,"0",,.0348477,.0120929,.0045388,,.056887,.2277816,.9444444,0,.15518427,,.06523893,,"1",11.49815,.0224194,.8128678,.5812451,,,,
"KS","Kansas",2014,1,"1",1,0,"0",,.0256562,.0074088,.0025223,.119611,.0174927,.208284,.9444444,0,,.1160567,,.0262487,"1",4.458911,,.7505795,.4340021,,,,
"KS","Kansas",2016,1,"1",1,0,"0",,.033406,.0112114,.0035644,.0881266,.0128312,.1590704,.939796,0,.13775086,,.05513639,,"1",5.504723,.025307,.8075151,.5772641,,,,
"KS","Kansas",2018,1,"1",0,.5,"0",,.0220005,.0058258,.0014242,.098428,.003642,.1043802,.9419301,0,,.1281831,,.0298225,"1",4.555366,,.8262428,.5115109,,,,
"KS","Kansas",2020,1,"1",0,1,"0",,.0346523,.0086832,,.2008903,.0046092,.1010629,.8928932,1,,,.0497075,,"1",6.358419,,.8451576,.6586018,-.0876995,,,
"KS","Kansas",2022,1,"1",0,1,"0",,.0173541,.0044025,.0014114,.1353868,.0035629,.1801363,.9276996,1,,,,.0122333,"1",4.30403,,.8457037,.4794082,,,,-.0434119
"KY","Kentucky",2008,1,"1",,,"",,.0004593,.0003642,.0010153,.0618627,,.2498479,.7222222,0,.22425771,,.05889091,,"0",12.31409,.0188383,.8316791,.5895327,,,,
"KY","Kentucky",2010,1,"1",0,0,"1",.2089105,.0000726,.0000677,.0008419,.0254521,.0656934,.2651515,.9995568,0,,.17314,,.0273906,"0",,,.764523,.4414108,,,,
"KY","Kentucky",2012,1,"1",0,0,"1",.2089529,.000158,.0001305,.000999,.0808597,.0809474,.2237081,1,0,.17743474,,.04519943,,"0",8.032156,.0102602,.8081189,.5590128,,,,
"KY","Kentucky",2014,1,"1",0,0,"1",,.0000898,.0000767,.0009333,.0679464,.1018277,.3571429,.9444444,0,,.1482159,,.0271423,"0",7.070019,,.8075726,.4403564,,,,
